Leg,Site,H,Cor,T,Top(mbsf),Cored(m),Cur(m),Rec(m),Rec(%),Time         ,Comment
145,887,A,1,H,0,6.7,6.68,6.65,99.3,09/09/92 2200,
145,887,A,2,H,6.7,9.5,9.72,9.72,102.3,09/09/92 2300,
145,887,A,3,H,16.2,9.5,10.02,10.02,105.5,09/09/92 2335,
145,887,A,4,H,25.7,9.5,9.78,9.78,102.9,09/10/92 0025,
145,887,A,5,H,35.2,9.5,10.03,10.01,105.4,09/10/92 0115,
145,887,A,6,H,44.7,9.5,10.07,10.07,106,09/10/92 0200,
145,887,A,7,H,54.2,9.5,9.96,9.96,104.8,09/10/92 0245,
145,887,A,8,H,63.7,9.5,9.92,9.92,104.4,09/10/92 0335,
145,887,A,9,H,73.2,9.5,8.15,8.15,85.8,09/10/92 0415,
145,887,A,10,H,82.7,9.5,9.9,9.9,104.2,09/10/92 0505,
145,887,A,11,H,92.2,9.5,10.08,10.08,106.1,09/10/92 0605,
145,887,A,12,H,101.7,9.5,9.99,9.99,105.2,09/10/92 0710,
145,887,A,13,H,111.2,9.5,10.06,10.06,105.9,09/10/92 0815,
145,887,A,14,H,120.7,9.5,9.77,9.77,102.8,09/10/92 0925,
145,887,A,15,X,130.2,9.5,8.27,8.27,87.1,09/10/92 1015,
145,887,A,16,X,139.7,5.4,4.67,4.67,86.5,09/10/92 1055,
145,887,A,17,X,145.1,9.7,7.37,7.42,76.5,09/10/92 1130,
145,887,A,18,X,154.8,9.6,8.89,8.89,92.6,09/10/92 1215,
145,887,A,19,X,164.4,9.7,      ,      ,      ,09/10/92 1300,
145,887,A,20,X,174.1,9.6,9.25,9.25,96.4,09/10/92 1345,
145,887,A,21,X,183.7,9.7,3.43,3.43,35.4,09/10/92 1430,
145,887,A,22,H,193.4,9.5,8.68,8.68,91.4,09/10/92 1530,
145,887,A,23,H,202.9,9.5,9.95,9.95,104.7,09/10/92 1615,
145,887,A,24,H,212.4,9.5,8.83,8.83,92.9,09/10/92 1650,
145,887,A,25,H,221.9,9.5,10,10,105.3,09/10/92 1740,
145,887,A,26,X,231.4,9.8,      ,      ,      ,09/10/92 2110,Other: NO RECOVERY
145,887,A,27,H,241.2,9.5,5.2,5.2,54.7,09/10/92 2200,
145,887,A,28,H,250.7,9.5,9.16,9.16,96.4,09/10/92 2330,
145,887,A,29,H,260.2,9.5,4.58,4.56,48,09/11/92 0045,
145,887,A,30,X,269.7,9.7,7.42,7.45,76.8,09/11/92 0305,
145,887,A,31,X,279.4,6.6,      ,      ,      ,09/11/92 0450,Other: NO RECOVERY
145,887,B,1,H,0,2,2.05,2.05,102.5,09/12/92 0200,
145,887,B,2,H,2,9.5,9.88,9.88,104,09/12/92 0245,
145,887,B,3,H,11.5,9.5,9.92,9.92,104.4,09/12/92 0330,
145,887,B,4,H,21,9.5,9.58,9.58,100.8,09/12/92 0410,
145,887,B,5,H,30.5,9.5,9.95,9.95,104.7,09/12/92 0450,
145,887,C,1,H,0,4.3,4.32,4.32,100.5,09/12/92 0600,
145,887,C,2,H,4.3,9.5,9.86,9.86,103.8,09/12/92 0655,
145,887,C,3,H,13.8,9.5,0.05,0.05,0.5,09/12/92 0740,
145,887,C,4,H,23.3,9.5,9.33,9.31,98,09/12/92 0825,
145,887,C,5,H,32.8,9.5,10.02,10.02,105.5,09/12/92 0905,
145,887,C,6,H,42.3,9.5,9.99,9.99,105.2,09/12/92 0945,
145,887,C,7,H,51.8,9.5,10.06,10.06,105.9,09/12/92 1030,
145,887,C,8,H,61.3,3.5,3.58,3.58,102.3,09/12/92 1115,
145,887,C,9,H,64.8,9.5,9.47,9.47,99.7,09/12/92 1200,Other: CORE LINER WAS BADLY SHATTERED AND MOVED BY HAND TO SPLIT LINERS.
145,887,C,10,H,74.3,9.5,10,10,105.3,09/12/92 1255,
145,887,C,11,H,83.8,9.5,10.01,10.01,105.4,09/12/92 1345,
145,887,C,12,H,93.3,9.5,9.86,9.86,103.8,09/12/92 1440,
145,887,C,13,H,102.8,9.5,10.01,10.01,105.4,09/12/92 1530,"Other: LINER BADLY SHATTERED, MOVED BY HAND TO SPLIT LINERS."
145,887,C,14,H,112.3,9.5,9.93,9.93,104.5,09/12/92 1615,
145,887,C,15,H,121.8,9.5,9.84,9.84,103.6,09/12/92 1700,
145,887,C,16,H,131.3,9.5,9.32,9.32,98.1,09/12/92 1820,"Other: LAST ORIENTATED CORE FOR HOLE ""C"""
145,887,C,17,H,140.8,9.5,10.09,10.09,106.2,09/12/92 1925,
145,887,C,18,H,150.3,9.5,7.86,7.86,82.7,09/12/92 2050,
145,887,C,19,H,159.8,9.5,9.32,9.32,98.1,09/12/92 2155,
145,887,C,20,H,169.3,9.5,9.63,9.63,101.4,09/12/92 2330,
145,887,C,21,H,178.8,9.5,9.78,9.78,102.9,09/13/92 0105,
145,887,C,22,H,188.3,9.5,9.57,9.57,100.7,09/13/92 0210,
145,887,C,23,H,197.8,9.5,10,10,105.3,09/13/92 0300,
145,887,C,24,H,207.3,9.5,9.34,9.34,98.3,09/13/92 0410,
145,887,C,25,H,216.8,9.5,9.95,9.95,104.7,09/13/92 0515,
145,887,C,26,H,226.3,9.5,9.53,9.53,100.3,09/13/92 0615,
145,887,C,27,H,235.8,9.5,9.92,9.92,104.4,09/13/92 0700,
145,887,C,28,H,245.3,9.5,9.63,9.63,101.4,09/13/92 0800,
145,887,C,29,H,254.8,9.5,9.39,9.39,98.8,09/13/92 0930,
145,887,C,30,H,264.3,9.5,9.8,9.8,103.2,09/13/92 1045,
145,887,D,1,R,257.4,10,      ,      ,      ,09/14/92 0320,Other: NO RECOVERY
145,887,D,2,R,267.4,9.7,      ,      ,      ,09/14/92 0400,
145,887,D,3,R,277.1,9.6,0.91,0.91,9.5,09/14/92 0440,
145,887,D,4,R,286.7,5.2,4.56,4.3,82.7,09/14/92 0630,Other: BASEMENT RECOVERED IN SECTION 3
145,887,D,5,R,291.9,4.5,1.97,1.35,30,09/14/92 0830,
145,887,D,6,R,296.4,9.4,1.45,1.1,11.7,09/14/92 1010,
145,887,D,7,R,305.8,9.5,5.83,5.21,54.8,09/14/92 1320,Other: BASALT
145,887,D,8,R,315.3,9.4,3.64,3.32,35.3,09/14/92 1700,Other: BASALT
145,887,D,9,R,324.7,9.8,0.28,0.22,2.2,09/14/92 1830,
145,887,D,10,R,334.5,9.7,3.04,2.45,25.3,09/14/92 2010,
145,887,D,11,R,344.2,9.6,0.31,0.2,2.1,09/14/92 2150,
145,887,D,12,R,353.8,9.6,0.67,0.52,5.4,09/14/92 2350,
145,887,D,13,R,363.4,9.7,0.43,0.34,3.5,09/15/92 0205,
